iter,train_loss,val_loss,lr,mfu
0,10.848329734802245,10.848371696472167,8.379888268156424e-07,-100.0
0,10.846318626403809,10.848190402984619,8.379888268156424e-07,-100.0
0,10.828650665283202,10.826400184631348,8.379888268156424e-07,-100.0
0,10.831315040588379,10.83333797454834,8.379888268156424e-07,-100.0
0,10.838539218902588,10.839883041381835,8.379888268156424e-07,-100.0
0,10.835970497131347,10.835923004150391,8.379888268156424e-07,-100.0
40,9.934320628643036,,3.435754189944134e-05,-100.0,
41,9.890905797481537,,3.519553072625698e-05,-100.0,
42,9.863407477736473,,3.603351955307262e-05,-100.0,
43,9.842994213104248,,3.687150837988826e-05,-100.0,
44,9.80832290649414,,3.7709497206703904e-05,-100.0,
45,9.775953143835068,,3.8547486033519545e-05,-100.0,
46,9.748419135808945,,3.938547486033519e-05,-100.0,
47,9.718752160668373,,4.0223463687150834e-05,-100.0,
48,9.680452480912209,,4.106145251396648e-05,-100.0,
49,9.642914190888405,,4.1899441340782123e-05,-100.0,
50,9.636329936981202,9.607035160064697,4.2737430167597765e-05,-100.0,
50,9.619975209236145,,4.2737430167597765e-05,-100.0,
51,9.577825739979744,,4.3575418994413406e-05,-100.0,
52,9.548523664474487,,4.441340782122904e-05,-100.0,
53,9.496338084340096,,4.525139664804469e-05,-100.0,
0,10.846720314025879,10.845511627197265,8.379888268156424e-07,-100.0,
0,10.84494236111641,,8.379888268156424e-07,-100.0,
1,10.841772571206093,,1.6759776536312848e-06,-100.0,
2,10.837154120206833,,2.513966480446927e-06,-100.0,
0,10.838644027709961,10.839024639129638,8.379888268156424e-07,-100.0,
0,10.838209852576256,,8.379888268156424e-07,-100.0,
0,10.836747646331787,10.835875225067138,8.379888268156424e-07,-100.0,
0,10.834690284729003,10.833306789398193,8.379888268156424e-07,-100.0,
0,10.835821747779846,,8.379888268156424e-07,-100.0,
1,10.83324334025383,,1.6759776536312848e-06,-100.0,
2,10.827625289559364,,2.513966480446927e-06,-100.0,
3,10.818952947854996,,3.3519553072625697e-06,-100.0,
4,10.807610765099525,,4.189944134078212e-06,-100.0,
5,10.79359558224678,,5.027932960893854e-06,-100.0,
6,10.777470871806145,,5.865921787709497e-06,-100.0,
7,10.758670151233673,,6.703910614525139e-06,-100.0,
8,10.736349910497665,,7.541899441340781e-06,-100.0,
9,10.713949233293533,,8.379888268156424e-06,-100.0,
10,10.687767267227173,,9.217877094972066e-06,-100.0,
11,10.661382421851158,,1.0055865921787709e-05,-100.0,
12,10.632847845554352,,1.0893854748603351e-05,-100.0,
13,10.606872603297234,,1.1731843575418994e-05,-100.0,
14,10.570187598466873,,1.2569832402234636e-05,-100.0,
15,10.546801522374153,,1.3407821229050279e-05,-100.0,
16,10.519056022167206,,1.424581005586592e-05,-100.0,
17,10.48692275583744,,1.5083798882681563e-05,-100.0,
18,10.479601189494133,,1.5921787709497204e-05,-100.0,
19,10.45372611284256,,1.675977653631285e-05,-100.0,
20,10.41015787422657,,1.759776536312849e-05,-100.0,
21,10.380591481924057,,1.843575418994413e-05,-100.0,
22,10.359020113945007,,1.9273743016759772e-05,-100.0,
23,10.339787691831589,,2.0111731843575417e-05,-100.0,
24,10.303508043289185,,2.0949720670391062e-05,-100.0,
